scorer,team,blended_share,expected_team_goals,expected_player_goals,p_top_scorer,market_p_gb
Harry Kane,England,0.2845612689847706,17.059821140328047,4.854564352344965,0.185,0.05859
Erling Haaland,Norway,0.3917563821353307,11.395834130790444,4.464390750492786,0.14355,0.03125
Kylian Mbappé,France,0.2389915429349314,17.82198653390045,4.25930405990244,0.11395,0.06696
Lionel Messi,Argentina,0.1955006383198715,19.116156549890142,3.737220807726117,0.07145,0.02757
Cristiano Ronaldo,Portugal,0.2059178741703551,17.550144093161226,3.6138883630471743,0.06525,0.02038
Lautaro Martínez,Argentina,0.1730881271789825,19.116156549890142,3.308779736080726,0.04565,0.01512
Raphinha,Brazil,0.1479088572437696,20.829272319831745,3.0808338660455954,0.03405,0.01512
Enner Valencia,Ecuador,0.29137885837668,9.92654291499585,2.8923847421986117,0.02735,0.0071
Vinícius Júnior,Brazil,0.1394921145604132,20.829272319831745,2.9055192406480135,0.02645,0.01512
Julián Alvarez,Argentina,0.1524479577501804,19.116156549890142,2.914219026063488,0.0264,0.01512
Mohamed Salah,Egypt,0.4284683402705763,6.691122329017232,2.8669340788614064,0.0256,0.00579
Mehdi Taremi,Iran,0.346519537907554,8.139046575735163,2.8203386584318086,0.0238,0.00464
Viktor Gyökeres,Sweden,0.3057007652490541,9.160501473607315,2.800372310546844,0.02185,0.00579
Mikel Merino,Spain,0.118724584007631,22.668351382371952,2.6912905880109177,0.0177,0.00464
Cody Gakpo,Netherlands,0.1490149598482124,16.61342430787885,2.4756487561798837,0.0148,0.01143
Mikel Oyarzabal,Spain,0.1139119326611222,22.668351382371952,2.5821957162074107,0.0145,0.02757
Luis Díaz,Colombia,0.1750208586617843,14.35474714201804,2.5123801706687914,0.01325,0.00919
Memphis Depay,Netherlands,0.1443701616902621,16.61342430787885,2.398482753557402,0.0111,0.00768
Mohamed Amoura,Algeria,0.2441602844767903,9.1283459516857,2.2287795443661382,0.0093,0.0
Florian Wirtz,Germany,0.1215472551126403,18.76539928436202,2.2808827741069084,0.008,0.01143
Romelu Lukaku,Belgium,0.1441528027668083,15.016671890980188,2.164695341314342,0.007,0.00919
Bruno Fernandes,Portugal,0.1203287616064582,17.550144093161226,2.1117871047449888,0.00665,0.00768
Andrej Kramarić,Croatia,0.1681896477984148,12.348118590909609,2.0768257167781456,0.00625,0.00464
Kevin De Bruyne,Belgium,0.1405625859387336,15.016671890980188,2.110782233189668,0.0061,0.00372
Marko Arnautović,Austria,0.196916398788171,9.707153537451934,1.9114977170788905,0.00445,0.00464
Breel Embolo,Switzerland,0.1573096228702669,12.33789542006978,1.9408696755439705,0.00445,0.00464
Jamal Musiala,Germany,0.099147707380238,18.76539928436202,1.8605463171192536,0.00375,0.00919
Eldor Shomurodov,Uzbekistan,0.329376598094121,5.268892985741781,1.7354500473656038,0.0029,0.00117
Darwin Núñez,Uruguay,0.1384194139290339,11.67594570371329,1.616177561375215,0.00225,0.0071
Brahim Díaz,Morocco,0.1509009083611335,11.02590346269792,1.6638188480232838,0.00205,0.00464
